Tarih,Tahmin_TRY,Alt_Sinir_TRY,Ust_Sinir_TRY
2025-10-27 00:00:00,2610.305760346347,1638.1832622521251,3649.341965228122
2025-10-27 01:00:00,2595.4943104477034,1524.15585149763,3649.363070583098
2025-10-27 02:00:00,2564.446148475805,1532.3669978394917,3559.463241998443
2025-10-27 03:00:00,2499.5375351868006,1451.9107471841878,3569.3901635973343
2025-10-27 04:00:00,2436.6359120925185,1335.6256397721297,3432.6685395793284
2025-10-27 05:00:00,2440.7104205249934,1440.393362834066,3439.38425517864
2025-10-27 06:00:00,2543.1104094131215,1491.0079811962416,3610.186738672752
2025-10-27 07:00:00,2696.4609307538462,1707.4783575664171,3698.712625324683
2025-10-27 08:00:00,2794.262580794931,1755.0455169265267,3873.584025564139
2025-10-27 09:00:00,2747.3480870762673,1784.8738247908937,3780.609702330223
2025-10-27 10:00:00,2557.0738398273206,1558.861575336296,3564.0869680144433
2025-10-27 11:00:00,2324.1329819994126,1321.103222724944,3355.387384679437
2025-10-27 12:00:00,2184.4609424813116,1166.2450412290937,3224.2315724769287
2025-10-27 13:00:00,2223.101212193642,1256.6856156986744,3235.9690658286318
2025-10-27 14:00:00,2430.9437713889815,1448.3017540955575,3481.270360333692
2025-10-27 15:00:00,2728.4962121619915,1683.1444666700804,3774.347628370795
2025-10-27 16:00:00,3025.3569186033924,1999.6385936410543,4014.498722521011
2025-10-27 17:00:00,3263.6032588961634,2260.955505878595,4298.934178755117
2025-10-27 18:00:00,3420.6780347872445,2339.758066900913,4396.7396791798665
2025-10-27 19:00:00,3489.7307022685486,2421.5918698285195,4554.1294837405385
2025-10-27 20:00:00,3470.0183730247422,2469.6213479875555,4462.066380812766
2025-10-27 21:00:00,3377.001427478908,2352.6911676523973,4418.441286230527
2025-10-27 22:00:00,3251.1923376162654,2239.338815847493,4230.738008406936
2025-10-27 23:00:00,3142.550335751726,2090.247766756454,4209.0119346116335
2025-10-28 00:00:00,3076.30489850148,2061.3588110424166,4080.4939668090806
2025-10-28 01:00:00,3033.544140613001,2049.2849456397357,3985.0213534802747
2025-10-28 02:00:00,2972.2752041696763,1912.6642291391715,4038.9870936689454
2025-10-28 03:00:00,2875.2117955935028,1814.5188757496896,3890.8456490941317
2025-10-28 04:00:00,2778.573257667231,1709.7127474405236,3794.6617023124213
2025-10-28 05:00:00,2747.6910806549035,1746.2304596334432,3702.2083857507537
2025-10-28 06:00:00,2814.283311753301,1800.8526219106634,3803.3194871757823
2025-10-28 07:00:00,2931.345910699049,1918.5201195280786,3937.5483628425945
2025-10-28 08:00:00,2992.7484586802934,1912.998665490091,4024.8252188086694
2025-10-28 09:00:00,2909.686669465134,1855.9889391186287,3953.8039573935826
2025-10-28 10:00:00,2683.8699494785646,1665.8951525430673,3759.847846005449
2025-10-28 11:00:00,2416.330667415865,1425.8418920546846,3469.979308038611
2025-10-28 12:00:00,2243.326062476133,1176.1330493867988,3260.2839755254386
2025-10-28 13:00:00,2250.2006331333787,1233.9141344624452,3290.17724532445
2025-10-28 14:00:00,2428.1214532013196,1333.1213325614967,3390.0909411589446
2025-10-28 15:00:00,2697.846494953829,1644.278892423045,3753.741190516056
2025-10-28 16:00:00,2969.195352798764,1935.7458302872599,3999.3436030845514
2025-10-28 17:00:00,3184.435349069209,2203.9528944407034,4159.891856429064
2025-10-28 18:00:00,3321.166289549049,2338.351023998904,4440.991310837573
2025-10-28 19:00:00,3372.6604003199527,2338.229241769219,4430.303036900841
2025-10-28 20:00:00,3338.262467432084,2272.2253815397157,4244.908457262865
2025-10-28 21:00:00,3233.48501776095,2239.6331864082586,4264.437657251654
2025-10-28 22:00:00,3098.8571407077725,2097.742155445054,4111.001843727057
2025-10-28 23:00:00,2984.3195836068694,1943.193311678859,4008.0179033773993
2025-10-29 00:00:00,2881.8170925886216,1781.4971307398596,3877.8861956478486
2025-10-29 01:00:00,2838.816011280229,1818.9858882068254,3833.1865235075406
2025-10-29 02:00:00,2779.974374991243,1723.0780487979907,3770.642737046274
2025-10-29 03:00:00,2687.859401460248,1657.763007341739,3742.734115559791
2025-10-29 04:00:00,2598.5169082477496,1556.7586337124594,3617.4035909928384
2025-10-29 05:00:00,2577.080460776241,1518.7316261331732,3602.6731426839037
2025-10-29 06:00:00,2655.0486860935225,1663.293162202566,3580.4558360235123
2025-10-29 07:00:00,2785.1797616288795,1735.8501433360825,3903.361232198764
2025-10-29 08:00:00,2861.0904447879393,1770.1939933583865,3899.8366231422283
2025-10-29 09:00:00,2793.712049128473,1794.1638967335782,3817.0164676182753
2025-10-29 10:00:00,2584.481568792144,1571.8576892108438,3600.9937540770557
2025-10-29 11:00:00,2334.1545660543247,1250.3685675387826,3307.5576386649236
2025-10-29 12:00:00,2178.710704734137,1157.2288327362708,3192.025991251752
2025-10-29 13:00:00,2203.2197254758785,1163.629945683902,3274.6893632461856
2025-10-29 14:00:00,2398.580264113137,1368.5363886799535,3443.1975950187675
2025-10-29 15:00:00,2685.291549202139,1670.498297669469,3745.3918090735087
2025-10-29 16:00:00,2972.92732997483,1847.0302816811727,3982.4287965131325
2025-10-29 17:00:00,3203.5249767122896,2132.2751577299427,4202.268967818877
2025-10-29 18:00:00,3354.47298449112,2309.6119219170205,4401.7057550635445
2025-10-29 19:00:00,3418.8533782570335,2352.5524419755843,4374.96623873495
2025-10-29 20:00:00,3395.844011677689,2405.277326757106,4352.097379330706
2025-10-29 21:00:00,3300.8155720807267,2191.1598579480246,4382.836932909234
2025-10-29 22:00:00,3174.1818706908566,2119.64158597112,4121.436213184067
2025-10-29 23:00:00,3065.7960343918216,1982.255325976069,4140.576073335878
2025-10-30 00:00:00,3034.0075368425405,1949.3454294611913,4060.530700867529
2025-10-30 01:00:00,2993.3242114758577,2015.5953553349825,4038.486190739724
2025-10-30 02:00:00,2934.866141347799,1937.0580967084218,3981.2572874791676
2025-10-30 03:00:00,2841.2267859593762,1841.0668707012444,3892.518997318715
2025-10-30 04:00:00,2748.505542662511,1739.6944966303872,3751.4975634740904
2025-10-30 05:00:00,2721.915696881663,1740.1186803762228,3771.2722285220607
2025-10-30 06:00:00,2793.060191965559,1774.8767707924405,3839.9625076322154
2025-10-30 07:00:00,2914.8242508735157,1900.097632704626,3940.676719401906
2025-10-30 08:00:00,2980.9722425399254,1917.300241953762,4066.4652183304966
2025-10-30 09:00:00,2902.601229537958,1772.0681639326278,3909.292723030512
2025-10-30 10:00:00,2681.3294329927226,1665.959621857301,3704.792123167689
2025-10-30 11:00:00,2418.1062665056643,1385.4497593736073,3369.6320572441455
